,year,units,value,tourism_activity,breakdown_of_domestic_tourism,activity_type
0,2019,million pounds (GBP),1662,Shopping,Expenditure,Shopping
1,2016,million pounds (GBP),469,Live sporting event,Expenditure,Live event
2,2014,million pounds (GBP),892,Night out,Expenditure,Drinking & Dining
3,2017,million pounds (GBP),354,Private event,Expenditure,Other
4,2015,million pounds (GBP),400,Live sporting event,Expenditure,Live event
5,2014,million pounds (GBP),421,Live sporting event,Expenditure,Live event
6,2013,million pounds (GBP),243,Live sporting event,Expenditure,Live event
7,2015,million pounds (GBP),264,Indoor leisure activity,Expenditure,Leisure activity
8,2018,million pounds (GBP),285,Indoor leisure activity,Expenditure,Leisure activity
9,2014,million pounds (GBP),1536,Shopping,Expenditure,Shopping
10,2018,million pounds (GBP),265,Private event,Expenditure,Other
11,2016,million pounds (GBP),261,Indoor leisure activity,Expenditure,Leisure activity
12,2017,million pounds (GBP),421,Indoor leisure activity,Expenditure,Leisure activity
13,2014,million pounds (GBP),469,Indoor leisure activity,Expenditure,Leisure activity
14,2019,million pounds (GBP),476,Sport participation,Expenditure,Leisure activity
15,2017,million pounds (GBP),374,Sport participation,Expenditure,Leisure activity
16,2015,million pounds (GBP),392,Public event,Expenditure,Live event
17,2019,million pounds (GBP),629,Public event,Expenditure,Live event
18,2014,million pounds (GBP),311,Public event,Expenditure,Live event
19,2016,million pounds (GBP),205,Public event,Expenditure,Live event
20,2017,million pounds (GBP),394,Public event,Expenditure,Live event
21,2016,million pounds (GBP),1892,Dining out,Expenditure,Drinking & Dining
22,2014,million pounds (GBP),1966,Dining out,Expenditure,Drinking & Dining
23,2017,million pounds (GBP),551,Live sporting event,Expenditure,Live event
24,2013,million pounds (GBP),1675,Dining out,Expenditure,Drinking & Dining
25,2019,million pounds (GBP),551,Live sporting event,Expenditure,Live event
26,2013,million pounds (GBP),228,Public event,Expenditure,Live event
27,2018,million pounds (GBP),496,Live sporting event,Expenditure,Live event
28,2018,million pounds (GBP),1538,Shopping,Expenditure,Shopping
29,2016,million pounds (GBP),273,Private event,Expenditure,Other
30,2017,million pounds (GBP),1561,Shopping,Expenditure,Shopping
31,2019,million pounds (GBP),266,Private event,Expenditure,Other
32,2015,million pounds (GBP),1033,Shopping,Expenditure,Shopping
33,2014,million pounds (GBP),71,Spa day,Expenditure,Leisure activity
34,2013,million pounds (GBP),1512,Shopping,Expenditure,Shopping
35,2014,million pounds (GBP),223,Private event,Expenditure,Other
36,2016,million pounds (GBP),826,Outdoor leisure activity,Expenditure,Leisure activity
37,2016,million pounds (GBP),1380,Shopping,Expenditure,Shopping
38,2013,million pounds (GBP),85,Private event,Expenditure,Other
39,2015,million pounds (GBP),87,Spa day,Expenditure,Leisure activity
40,2013,million pounds (GBP),147,Indoor leisure activity,Expenditure,Leisure activity
41,2015,million pounds (GBP),142,Private event,Expenditure,Other
42,2018,million pounds (GBP),893,Outdoor leisure activity,Expenditure,Leisure activity
43,2019,million pounds (GBP),1111,Night out,Expenditure,Drinking & Dining
44,2019,million pounds (GBP),1059,Outdoor leisure activity,Expenditure,Leisure activity
45,2017,million pounds (GBP),1276,Outdoor leisure activity,Expenditure,Leisure activity
46,2018,million pounds (GBP),1150,Night out,Expenditure,Drinking & Dining
47,2019,million pounds (GBP),507,Indoor leisure activity,Expenditure,Leisure activity
48,2013,million pounds (GBP),840,Night out,Expenditure,Drinking & Dining
49,2015,million pounds (GBP),647,Outdoor leisure activity,Expenditure,Leisure activity
50,2017,million pounds (GBP),1298,Night out,Expenditure,Drinking & Dining
51,2016,million pounds (GBP),69,Spa day,Expenditure,Leisure activity
52,2013,million pounds (GBP),699,Outdoor leisure activity,Expenditure,Leisure activity
53,2014,million pounds (GBP),571,Outdoor leisure activity,Expenditure,Leisure activity
54,2016,million pounds (GBP),973,Night out,Expenditure,Drinking & Dining
55,2015,million pounds (GBP),876,Night out,Expenditure,Drinking & Dining
56,2013,million pounds (GBP),414,Visitor attraction,Expenditure,Tourist attraction
57,2015,million pounds (GBP),506,General day out,Expenditure,Other
58,2015,million pounds (GBP),345,Visitor attraction,Expenditure,Tourist attraction
59,2017,million pounds (GBP),742,Visitor attraction,Expenditure,Tourist attraction
60,2018,million pounds (GBP),396,Sport participation,Expenditure,Leisure activity
61,2018,million pounds (GBP),1010,General day out,Expenditure,Other
62,2016,million pounds (GBP),806,General day out,Expenditure,Other
63,2018,million pounds (GBP),87,Spa day,Expenditure,Leisure activity
64,2019,million pounds (GBP),443,Visitor attraction,Expenditure,Tourist attraction
65,2013,million pounds (GBP),474,Entertainment,Expenditure,Entertainment
66,2017,million pounds (GBP),252,Spa day,Expenditure,Leisure activity
67,2019,million pounds (GBP),341,Spa day,Expenditure,Leisure activity
68,2018,million pounds (GBP),467,Visitor attraction,Expenditure,Tourist attraction
69,2013,million pounds (GBP),145,Spa day,Expenditure,Leisure activity
70,2014,million pounds (GBP),599,Excursions,Expenditure,Excursions
71,2017,million pounds (GBP),1042,General day out,Expenditure,Other
72,2013,million pounds (GBP),312,Excursions,Expenditure,Excursions
73,2015,million pounds (GBP),269,Excursions,Expenditure,Excursions
