,year,units,value,type_of_location_visited,breakdown_of_domestic_tourism,location_type
0,2014,million pounds (GBP),186,Seaside - beach,Expenditure,Seaside
1,2019,million pounds (GBP),1456,Small town,Expenditure,Town or Village
2,2016,million pounds (GBP),4916,All areas,Expenditure,All
3,2018,million pounds (GBP),5474,All areas,Expenditure,All
4,2013,million pounds (GBP),217,Seaside - beach,Expenditure,Seaside
5,2018,million pounds (GBP),6,Seaside - other,Expenditure,Seaside
6,2018,million pounds (GBP),1234,Small town,Expenditure,Town or Village
7,2015,million pounds (GBP),230,Seaside resort or town,Expenditure,Seaside
8,2016,million pounds (GBP),302,Seaside resort or town,Expenditure,Seaside
9,2019,million pounds (GBP),359,Seaside resort or town,Expenditure,Seaside
10,2017,million pounds (GBP),458,Seaside resort or town,Expenditure,Seaside
11,2015,million pounds (GBP),3922,All areas,Expenditure,All
12,2014,million pounds (GBP),5020,All areas,Expenditure,All
13,2013,million pounds (GBP),4647,All areas,Expenditure,All
14,2016,million pounds (GBP),1037,Small town,Expenditure,Town or Village
15,2013,million pounds (GBP),68,Seaside - other,Expenditure,Seaside
16,2013,million pounds (GBP),1035,Small town,Expenditure,Town or Village
17,2017,million pounds (GBP),246,Seaside - beach,Expenditure,Seaside
18,2019,million pounds (GBP),35,Seaside - other,Expenditure,Seaside
19,2015,million pounds (GBP),914,Small town,Expenditure,Town or Village
20,2016,million pounds (GBP),32,Seaside - other,Expenditure,Seaside
21,2016,million pounds (GBP),249,Seaside - beach,Expenditure,Seaside
22,2015,million pounds (GBP),36,Seaside - other,Expenditure,Seaside
23,2014,million pounds (GBP),128,Seaside - other,Expenditure,Seaside
24,2017,million pounds (GBP),75,Seaside - other,Expenditure,Seaside
25,2015,million pounds (GBP),81,Seaside - beach,Expenditure,Seaside
26,2019,million pounds (GBP),237,Seaside - beach,Expenditure,Seaside
27,2018,million pounds (GBP),151,Seaside - beach,Expenditure,Seaside
28,2019,million pounds (GBP),457,Village,Expenditure,Town or Village
29,2015,million pounds (GBP),308,Village,Expenditure,Town or Village
30,2019,million pounds (GBP),3400,City/large town,Expenditure,City
31,2018,million pounds (GBP),3111,City/large town,Expenditure,City
32,2017,million pounds (GBP),1377,Small town,Expenditure,Town or Village
33,2017,million pounds (GBP),883,Village,Expenditure,Town or Village
34,2014,million pounds (GBP),1398,Small town,Expenditure,Town or Village
35,2014,million pounds (GBP),2873,City/large town,Expenditure,City
36,2015,million pounds (GBP),2254,City/large town,Expenditure,City
37,2017,million pounds (GBP),3379,City/large town,Expenditure,City
38,2016,million pounds (GBP),2630,City/large town,Expenditure,City
39,2014,million pounds (GBP),286,Seaside resort or town,Expenditure,Seaside
40,2013,million pounds (GBP),2850,City/large town,Expenditure,City
41,2013,million pounds (GBP),206,Seaside resort or town,Expenditure,Seaside
42,2017,million pounds (GBP),778,Rural countryside,Expenditure,Countryside
43,2016,million pounds (GBP),520,Rural countryside,Expenditure,Countryside
44,2017,million pounds (GBP),5995,All areas,Expenditure,All
45,2019,million pounds (GBP),429,Rural countryside,Expenditure,Countryside
46,2015,million pounds (GBP),402,Rural countryside,Expenditure,Countryside
47,2018,million pounds (GBP),228,Seaside resort or town,Expenditure,Seaside
48,2018,million pounds (GBP),502,Rural countryside,Expenditure,Countryside
49,2016,million pounds (GBP),482,Village,Expenditure,Town or Village
50,2014,million pounds (GBP),510,Village,Expenditure,Town or Village
51,2018,million pounds (GBP),651,Village,Expenditure,Town or Village
52,2013,million pounds (GBP),483,Village,Expenditure,Town or Village
