,featurecode,years,units,value,region_of_residence,breakdown_of_domestic_tourism
0,S12000039,2016-2018,million pounds (GBP),8,England,Expenditure
1,S12000039,2015-2017,Thousand Nights,140,All of GB,Nights
2,S12000039,2015-2017,million pounds (GBP),8,England,Expenditure
3,S12000039,2017-2019,Thousand Nights,76,England,Nights
4,S12000039,2009-2011,Thousand Visits,68,Scotland,Visits
5,S12000039,2016-2018,Thousand Nights,59,Scotland,Nights
6,S12000039,2016-2018,million pounds (GBP),4,Scotland,Expenditure
7,S12000039,2013-2015,Thousand Visits,32,Scotland,Visits
8,S12000039,2012-2014,million pounds (GBP),6,England,Expenditure
9,S12000039,2015-2017,Thousand Visits,28,England,Visits
10,S12000039,2010-2012,Thousand Visits,27,England,Visits
11,S12000039,2009-2011,million pounds (GBP),3,England,Expenditure
12,S12000039,2010-2012,million pounds (GBP),13,Scotland,Expenditure
13,S12000039,2012-2014,Thousand Visits,67,All of GB,Visits
14,S12000039,2010-2012,Thousand Nights,183,Scotland,Nights
15,S12000039,2011-2013,million pounds (GBP),16,All of GB,Expenditure
16,S12000039,2013-2015,Thousand Nights,49,Scotland,Nights
17,S12000039,2011-2013,Thousand Visits,44,Scotland,Visits
18,S12000039,2014-2016,million pounds (GBP),9,England,Expenditure
19,S12000039,2017-2019,Thousand Visits,70,All of GB,Visits
20,S12000039,2016-2018,Thousand Nights,144,All of GB,Nights
21,S12000039,2016-2018,Thousand Visits,28,England,Visits
22,S12000039,2013-2015,Thousand Visits,61,All of GB,Visits
23,S12000039,2015-2017,Thousand Nights,58,Scotland,Nights
24,S12000039,2011-2013,Thousand Visits,29,England,Visits
25,S12000039,2016-2018,Thousand Visits,28,Scotland,Visits
26,S12000039,2017-2019,million pounds (GBP),4,Scotland,Expenditure
27,S12000039,2015-2017,Thousand Visits,64,All of GB,Visits
28,S12000039,2011-2013,million pounds (GBP),4,England,Expenditure
29,S12000039,2013-2015,million pounds (GBP),4,England,Expenditure
30,S12000039,2014-2016,Thousand Visits,28,Scotland,Visits
31,S12000039,2014-2016,Thousand Nights,128,All of GB,Nights
32,S12000039,2017-2019,Thousand Nights,98,Scotland,Nights
33,S12000039,2009-2011,Thousand Nights,153,Scotland,Nights
34,S12000039,2017-2019,Thousand Visits,22,England,Visits
35,S12000039,2013-2015,Thousand Nights,64,England,Nights
36,S12000039,2012-2014,million pounds (GBP),2,Scotland,Expenditure
37,S12000039,2009-2011,Thousand Visits,96,All of GB,Visits
38,S12000039,2011-2013,Thousand Nights,256,All of GB,Nights
39,S12000039,2012-2014,Thousand Nights,90,England,Nights
40,S12000039,2009-2011,Thousand Nights,318,All of GB,Nights
41,S12000039,2015-2017,million pounds (GBP),4,Scotland,Expenditure
42,S12000039,2014-2016,Thousand Visits,64,All of GB,Visits
43,S12000039,2009-2011,Thousand Nights,110,England,Nights
44,S12000039,2010-2012,Thousand Visits,92,All of GB,Visits
45,S12000039,2010-2012,Thousand Visits,59,Scotland,Visits
46,S12000039,2010-2012,million pounds (GBP),19,All of GB,Expenditure
47,S12000039,2011-2013,Thousand Visits,81,All of GB,Visits
48,S12000039,2012-2014,Thousand Visits,26,Scotland,Visits
49,S12000039,2017-2019,million pounds (GBP),11,England,Expenditure
50,S12000039,2013-2015,Thousand Visits,27,England,Visits
51,S12000039,2013-2015,Thousand Nights,118,All of GB,Nights
52,S12000039,2016-2018,million pounds (GBP),12,All of GB,Expenditure
53,S12000039,2015-2017,Thousand Visits,36,Scotland,Visits
54,S12000039,2014-2016,Thousand Nights,40,Scotland,Nights
55,S12000039,2013-2015,million pounds (GBP),3,Scotland,Expenditure
56,S12000039,2016-2018,Thousand Visits,56,All of GB,Visits
57,S12000039,2010-2012,Thousand Nights,84,England,Nights
58,S12000039,2015-2017,Thousand Nights,82,England,Nights
59,S12000039,2010-2012,million pounds (GBP),4,England,Expenditure
